person,block,condition,trial,attempt,id,found,score,item_class,x,y,rt
18,prac_feat,feat_grid,1,1,15,1,0,targ_class2,-313.0,-118.0,1.43
18,prac_feat,feat_grid,1,1,16,2,0,targ_class1,-227.0,-103.0,2.18
18,prac_feat,feat_grid,1,1,9,3,0,targ_class1,-216.0,-215.0,2.82
18,prac_feat,feat_grid,1,1,10,4,0,targ_class1,-88.0,-219.0,4.02
18,prac_feat,feat_grid,1,1,3,5,0,targ_class1,-111.0,-310.0,4.68
18,prac_feat,feat_grid,1,1,11,6,0,targ_class2,8.0,-228.0,6.32
18,prac_feat,feat_grid,1,1,13,7,0,targ_class1,239.0,-199.0,7.33
18,prac_feat,feat_grid,1,1,14,8,0,targ_class1,317.0,-218.0,8.06
18,prac_feat,feat_grid,1,1,21,9,0,targ_class2,312.0,-115.0,8.67
18,prac_feat,feat_grid,1,1,28,10,0,targ_class2,312.0,-14.0,9.2
18,prac_feat,feat_grid,1,1,27,11,0,targ_class1,213.0,-2.0,9.87
18,prac_feat,feat_grid,1,1,34,12,0,targ_class2,231.0,101.0,10.88
18,prac_feat,feat_grid,1,1,33,13,0,targ_class2,111.0,92.0,11.4
18,prac_feat,feat_grid,1,1,24,14,0,targ_class2,-118.0,-17.0,12.33
18,prac_feat,feat_grid,1,1,36,15,0,targ_class2,-329.0,196.0,13.58
18,prac_feat,feat_grid,1,1,43,16,0,targ_class2,-334.0,333.0,14.07
18,prac_feat,feat_grid,1,1,38,17,0,targ_class2,-139.0,208.0,14.77
18,prac_feat,feat_grid,1,1,30,18,0,targ_class1,-241.0,127.0,15.5
18,prac_feat,feat_grid,1,1,44,19,0,targ_class1,-215.0,341.0,16.08
18,prac_feat,feat_grid,1,1,31,20,0,targ_class1,-61.0,96.0,16.78
18,prac_feat,feat_grid,1,1,40,21,0,targ_class2,112.0,223.0,17.65
18,prac_feat,feat_grid,1,1,47,22,0,targ_class2,95.0,276.0,18.07
18,prac_feat,feat_grid,1,1,41,23,0,targ_class1,201.0,236.0,18.69
18,prac_feat,feat_grid,1,1,35,24,0,targ_class1,292.0,139.0,19.3
18,prac_feat,feat_grid,0,1,43,1,0,targ_class2,-302.0,340.0,1.09
18,prac_feat,feat_grid,0,1,39,2,0,targ_class2,-11.0,223.0,2.17
18,prac_feat,feat_grid,0,1,48,3,0,targ_class1,203.0,327.0,2.89
18,prac_feat,feat_grid,0,1,40,4,0,targ_class1,120.0,233.0,5.3
18,prac_feat,feat_grid,0,1,42,5,0,targ_class1,325.0,212.0,6.07
18,prac_feat,feat_grid,0,1,34,6,0,targ_class1,228.0,89.0,6.93
18,prac_feat,feat_grid,0,1,35,7,0,targ_class2,328.0,117.0,7.49
18,prac_feat,feat_grid,0,1,31,8,0,targ_class2,-108.0,111.0,8.22
18,prac_feat,feat_grid,0,1,32,9,0,targ_class2,-30.0,107.0,8.63
18,prac_feat,feat_grid,0,1,30,10,0,targ_class1,-179.0,86.0,9.27
18,prac_feat,feat_grid,0,1,23,11,0,targ_class2,-190.0,16.0,9.72
18,prac_feat,feat_grid,0,1,16,12,0,targ_class2,-226.0,-97.0,10.33
18,prac_feat,feat_grid,0,1,15,13,0,targ_class1,-325.0,-95.0,10.97
18,prac_feat,feat_grid,0,1,17,14,0,targ_class2,-87.0,-69.0,11.5
18,prac_feat,feat_grid,0,1,18,15,0,targ_class2,21.0,-115.0,12.65
18,prac_feat,feat_grid,0,1,19,16,0,targ_class2,78.0,-100.0,13.43
18,prac_feat,feat_grid,0,1,21,17,0,targ_class1,340.0,-105.0,14.18
18,prac_feat,feat_grid,0,1,13,18,0,targ_class1,227.0,-245.0,15.32
18,prac_feat,feat_grid,0,1,12,19,0,targ_class1,72.0,-196.0,16.25
18,prac_feat,feat_grid,0,1,4,20,0,targ_class1,2.0,-332.0,16.85
18,prac_feat,feat_grid,0,1,3,21,0,targ_class1,-114.0,-331.0,17.38
18,prac_feat,feat_grid,0,1,2,22,0,targ_class2,-192.0,-342.0,17.92
18,prac_feat,feat_grid,0,1,1,23,0,targ_class1,-294.0,-328.0,18.58
18,prac_feat,feat_grid,0,1,8,24,0,targ_class2,-317.0,-217.0,19.27
18,feature_blocks,feat_rot,5,1,49,1,0,targ_class2,-15.0,472.0,0.99
18,feature_blocks,feat_rot,5,1,48,2,0,targ_class1,-77.0,362.0,1.93
18,feature_blocks,feat_rot,5,1,47,3,0,targ_class1,-149.0,334.0,2.52
18,feature_blocks,feat_rot,5,1,46,4,0,targ_class2,-241.0,236.0,3.55
18,feature_blocks,feat_rot,5,1,38,5,0,targ_class2,-244.0,70.0,4.2
18,feature_blocks,feat_rot,5,1,37,6,0,targ_class2,-298.0,1.0,4.78
18,feature_blocks,feat_rot,5,1,32,7,0,targ_class1,-75.0,69.0,5.38
18,feature_blocks,feat_rot,5,1,25,8,0,targ_class1,8.0,-7.0,6.03
18,feature_blocks,feat_rot,5,1,28,9,0,targ_class1,200.0,234.0,7.07
18,feature_blocks,feat_rot,5,1,20,10,0,targ_class1,223.0,85.0,7.93
18,feature_blocks,feat_rot,5,1,14,11,0,targ_class1,371.0,52.0,8.83
18,feature_blocks,feat_rot,5,1,7,12,0,targ_class1,458.0,-18.0,9.9
18,feature_blocks,feat_rot,5,1,21,13,0,targ_class2,338.0,128.0,10.52
18,feature_blocks,feat_rot,5,1,19,14,0,targ_class2,171.0,-28.0,11.58
18,feature_blocks,feat_rot,5,1,12,15,0,targ_class1,220.0,-72.0,12.0
18,feature_blocks,feat_rot,5,1,5,16,0,targ_class2,295.0,-154.0,12.6
18,feature_blocks,feat_rot,5,1,11,17,0,targ_class2,160.0,-177.0,13.28
18,feature_blocks,feat_rot,5,1,3,18,0,targ_class2,155.0,-300.0,13.88
18,feature_blocks,feat_rot,5,1,2,19,0,targ_class2,101.0,-342.0,14.5
18,feature_blocks,feat_rot,5,1,1,20,0,targ_class1,19.0,-424.0,15.43
18,feature_blocks,feat_rot,5,1,15,21,0,targ_class1,-127.0,-306.0,16.11
18,feature_blocks,feat_rot,5,1,16,22,0,targ_class2,-79.0,-208.0,16.83
18,feature_blocks,feat_rot,5,1,29,23,0,targ_class2,-294.0,-145.0,17.4
18,feature_blocks,feat_rot,5,1,22,24,0,targ_class1,-241.0,-238.0,18.06
18,feature_blocks,feat_grid,4,1,43,1,0,targ_class1,-354.0,317.0,2.12
18,feature_blocks,feat_grid,4,1,44,2,0,targ_class1,-215.0,353.0,3.58
18,feature_blocks,feat_grid,4,1,45,3,0,targ_class1,-99.0,307.0,4.25
18,feature_blocks,feat_grid,4,1,47,4,0,targ_class1,117.0,320.0,4.93
18,feature_blocks,feat_grid,4,1,39,5,0,targ_class1,12.0,210.0,5.75
18,feature_blocks,feat_grid,4,1,42,6,0,targ_class1,327.0,225.0,6.7
18,feature_blocks,feat_grid,4,1,34,7,0,targ_class2,238.0,132.0,7.25
18,feature_blocks,feat_grid,4,1,35,8,0,targ_class1,333.0,110.0,7.75
18,feature_blocks,feat_grid,4,1,32,9,0,targ_class2,2.0,126.0,8.55
18,feature_blocks,feat_grid,4,1,29,10,0,targ_class2,-338.0,97.0,9.42
18,feature_blocks,feat_grid,4,1,24,11,0,targ_class2,-81.0,-23.0,11.05
18,feature_blocks,feat_grid,4,1,22,12,0,targ_class1,-344.0,6.0,11.85
18,feature_blocks,feat_grid,4,1,26,13,0,targ_class2,127.0,21.0,12.64
18,feature_blocks,feat_grid,4,1,27,14,0,targ_class1,209.0,-2.0,13.13
18,feature_blocks,feat_grid,4,1,20,15,0,targ_class2,217.0,-80.0,14.18
18,feature_blocks,feat_grid,4,1,18,16,0,targ_class2,-6.0,-104.0,14.93
18,feature_blocks,feat_grid,4,1,17,17,0,targ_class1,-115.0,-123.0,15.7
18,feature_blocks,feat_grid,4,1,8,18,0,targ_class1,-323.0,-248.0,16.38
18,feature_blocks,feat_grid,4,1,10,19,0,targ_class1,-84.0,-216.0,17.28
18,feature_blocks,feat_grid,4,1,11,20,0,targ_class2,7.0,-217.0,17.82
18,feature_blocks,feat_grid,4,1,13,21,0,targ_class2,225.0,-240.0,18.62
18,feature_blocks,feat_grid,4,1,3,22,0,targ_class2,-116.0,-315.0,19.26
18,feature_blocks,feat_grid,4,1,6,23,0,targ_class2,231.0,-317.0,19.88
